index,lat,lng,city,country,temp,humidity,cloudiness,windspeed,max_temp
0,6.2753212263548335,-117.46416952378483,san patricio,mx,84.2,66,40,11.41,84.2
1,-15.476659233943138,-165.2472113685477,alofi,nu,84.2,79,50,6.93,84.2
3,-80.33424136320247,-83.3628646026139,ushuaia,ar,50.0,71,75,18.34,50.0
4,61.50287181308781,94.80199970372144,baykit,ru,-2.7,99,83,2.95,-2.7
5,-42.61144954319087,-79.41277684233924,castro,cl,64.4,63,20,5.82,64.4
6,7.092689220166761,88.03466039991014,kalmunai,lk,79.47,65,100,13.04,79.47
7,-73.40212216131742,-112.79849905702342,punta arenas,cl,53.33,54,75,13.87,53.6
8,68.45752309143128,45.28648683767409,mezen,ru,-5.42,97,90,7.99,-5.42
9,-22.683292678129988,-130.19521672956944,rikitea,pf,79.34,78,0,11.39,79.34
10,9.105162666759199,-40.97225986037961,carutapera,br,82.96,77,100,12.64,82.96
11,19.010100458982606,2.4094252830647633,kidal,ml,71.33,9,100,8.99,71.33
12,50.5221949216145,-35.10344202782869,lagoa,pt,62.11,84,98,12.95,62.11
13,-16.06430256767456,-153.66535816781087,faanui,pf,83.41,72,90,9.93,83.41
15,-30.26571199572541,36.138861256578906,richards bay,za,75.58,84,93,42.19,75.58
16,-15.762971844876631,124.3854628628049,broome,au,84.2,83,24,3.36,84.2
17,42.82961929630426,-160.4975378809302,kodiak,us,17.6,61,90,8.05,17.6
18,16.274178405219757,-127.96895456972277,guerrero negro,mx,63.9,73,1,13.67,63.9
20,87.2963546680387,38.21835231080354,vardo,no,12.2,78,100,24.16,10.4
21,56.375358750402654,-47.95528978473803,nanortalik,gl,23.04,73,99,18.59,23.04
22,-5.564711041739045,110.41852170920595,mlonggo,id,78.8,83,20,4.23,78.8
24,45.88670440793163,108.0151687061537,darhan,mn,-1.21,82,19,2.19,-1.21
25,-57.02546746783458,110.76798659354012,albany,au,60.8,100,75,2.24,60.8
26,-3.9907660071459503,-127.51977590118517,atuona,pf,81.14,71,3,11.27,81.14
27,55.32173374924005,153.2034150880803,sobolevo,ru,33.53,90,98,12.08,33.53
29,80.33031500356032,-101.94916453270577,yellowknife,ca,3.2,84,75,8.05,3.2
